City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,La Rioja,ES,42.25,-2.5,47.32,82,36,7.07,scattered clouds
107,Yarmouth,US,41.7057,-70.2286,36.14,75,90,25.01,light snow
108,Meulaboh,ID,4.1363,96.1285,75.42,90,36,3.2,scattered clouds
109,San Patricio,US,28.017,-97.5169,53.87,24,0,3.06,clear sky
110,Dingle,PH,10.9995,122.6711,72.32,84,98,8.59,overcast clouds
111,Lexington,US,37.9887,-84.4777,32.99,57,20,1.99,few clouds
112,Saskylakh,RU,71.9167,114.0833,-52.4,100,64,2.8,broken clouds
113,Sur,OM,22.5667,59.5289,76.19,73,99,15.68,overcast clouds
114,Searcy,US,35.2506,-91.7363,38.39,47,1,5.75,clear sky
115,Formosa,AR,-26.1775,-58.1781,87.78,55,90,3.44,overcast clouds
116,Yilan,TW,24.757,121.753,68.05,99,74,1.01,broken clouds
117,Bredasdorp,ZA,-34.5322,20.0403,65.28,72,100,4.61,overcast clouds
118,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,75,11.5,broken clouds
119,Flinders,AU,-34.5833,150.8552,69.8,85,51,1.99,broken clouds
120,Puerto Ayacucho,VE,5.6639,-67.6236,89.38,29,93,6.42,overcast clouds
121,Mortka,RU,59.3322,66.0214,18.95,97,100,2.95,light snow
122,Caravelas,BR,-17.7125,-39.2481,82.42,63,92,9.28,overcast clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,66,75,12.66,light rain
124,Zeya,RU,53.75,127.2667,-16.8,92,13,2.77,few clouds
125,Tay Ninh,VN,11.3,106.1,73.98,68,88,5.64,overcast clouds
126,Loralai,PK,30.3705,68.598,46.49,47,100,2.3,light rain
127,Port Elizabeth,ZA,-33.918,25.5701,71.1,83,75,6.91,broken clouds
128,Hilo,US,19.7297,-155.09,76.62,80,40,5.75,scattered clouds
129,Thompson,CA,55.7435,-97.8558,-21.84,76,40,10.36,scattered clouds
130,Uruzgan,AF,32.8333,66.0,40.26,94,100,3.29,overcast clouds
131,Aklavik,CA,68.2191,-135.0107,-22.0,76,75,3.44,broken clouds
132,Carnarvon,AU,-24.8667,113.6333,75.27,78,3,18.41,clear sky
133,Jacareacanga,BR,-6.2222,-57.7528,84.51,79,75,4.61,light rain
134,Vila,PT,42.0304,-8.1588,48.33,86,100,9.22,overcast clouds
135,Richards Bay,ZA,-28.783,32.0377,72.37,94,33,6.78,light rain
136,Hillsboro,US,45.5229,-122.9898,41.05,88,90,1.99,moderate rain
137,Tiznit,MA,29.5833,-9.5,61.5,36,0,2.77,clear sky
138,Salamiyah,SY,35.0113,37.0532,46.51,73,0,7.43,clear sky
139,Tubuala,PA,9.5167,-79.0333,88.56,83,100,15.03,overcast clouds
140,Vao,NC,-22.6667,167.4833,78.51,80,86,19.3,overcast clouds
141,Bethel,US,41.3712,-73.414,30.49,66,90,1.01,light snow
142,Esperance,AU,-33.8667,121.9,64.24,84,30,11.25,scattered clouds
143,Anadyr,RU,64.75,177.4833,27.1,92,20,25.99,few clouds
144,Codrington,AU,-38.2667,141.9667,58.41,64,100,14.81,overcast clouds
145,Hun,LY,29.1268,15.9477,54.68,70,0,6.13,clear sky
146,Severo-Kurilsk,RU,50.6789,156.125,28.18,76,100,23.91,overcast clouds
147,Anshun,CN,26.25,105.9333,49.19,98,100,11.97,overcast clouds
148,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,59,0,20.71,clear sky
149,Punta,PH,8.9897,125.34,73.33,90,100,3.74,overcast clouds
150,Iqaluit,CA,63.7506,-68.5145,8.33,84,90,18.01,light snow
151,Beringovskiy,RU,63.05,179.3167,21.94,92,100,9.42,overcast clouds
152,Svetlogorsk,BY,52.6333,29.7333,34.68,98,100,8.08,overcast clouds
153,Faya,SA,18.3851,42.4509,54.12,86,96,6.08,overcast clouds
154,Vila Velha,BR,-20.3297,-40.2925,84.15,81,75,8.99,broken clouds
155,Pimentel,PE,-6.8367,-79.9342,82.69,54,0,12.66,clear sky
156,Khalkhal,IR,37.6189,48.5258,23.02,98,91,4.63,overcast clouds
157,Narita,JP,35.7833,140.3167,42.71,100,20,1.14,few clouds
158,Muros,ES,42.7762,-9.0603,59.85,92,98,23.47,overcast clouds
159,Bouna,CI,9.2667,-3.0,83.44,15,95,5.88,overcast clouds
160,Torbay,CA,47.6666,-52.7314,31.57,78,90,23.02,overcast clouds
